CO2,VOC,RH,TEM,PM25,TIME
537,0,28.9,27.9,6,1638517752
540,0,28.8,27.9,6,1638517803
536,0,28.8,27.9,6,1638517854
547,0,28.7,27.9,6,1638517955
551,0,28.8,27.9,6,1638518006
560,0,28.7,28.0,6,1638518057
561,0,28.8,28.0,6,1638518108
564,0,28.9,27.9,6,1638518159
571,0,28.8,27.9,6,1638518210
561,0,28.7,28.0,6,1638518261
561,0,28.7,27.9,6,1638518313
553,0,28.6,28.0,6,1638518364
542,0,28.5,27.9,6,1638518415
551,0,28.6,27.9,6,1638518466
550,0,28.5,28.0,6,1638518517
549,0,28.4,28.0,6,1638518568
539,0,28.4,28.0,6,1638518619
549,0,28.4,27.9,6,1638518670
551,0,28.4,28.0,6,1638518721
565,0,28.5,28.0,6,1638518772
571,0,28.7,28.0,6,1638518823
571,0,28.8,28.0,6,1638518873
577,0,28.8,28.0,6,1638518924
585,0,28.8,28.0,6,1638518975
578,0,28.8,27.9,6,1638519026
574,0,28.9,28.0,5,1638519077
579,0,28.9,28.0,6,1638519128
577,0,28.9,28.0,6,1638519179
570,0,28.8,28.0,6,1638519230
566,0,28.7,28.0,6,1638519281
582,0,28.7,28.0,6,1638519332
569,0,28.7,28.0,5,1638519382
567,0,28.7,28.0,6,1638519433
569,0,28.7,28.0,6,1638519485
565,0,28.6,28.0,6,1638519536
558,0,28.5,28.0,6,1638519586
570,0,28.5,28.0,6,1638519637
551,0,28.4,28.0,6,1638519688
548,0,28.5,28.0,6,1638519739
552,0,28.4,28.0,6,1638519790
554,0,28.4,28.0,5,1638519841
552,0,28.4,28.0,6,1638519892
560,0,28.4,28.0,6,1638519943
543,0,28.3,28.0,6,1638519993
545,0,28.3,28.0,5,1638520044
559,0,28.5,28.0,6,1638520095
567,0,28.5,28.0,6,1638520146
558,0,28.5,28.0,5,1638520197
568,0,28.5,28.0,5,1638520248
563,0,28.5,28.0,5,1638520299
554,0,28.4,28.0,5,1638520350
556,0,28.4,28.0,6,1638520401
556,0,28.4,28.0,6,1638520452
543,0,28.3,28.0,6,1638520503
537,0,28.4,28.0,6,1638520554
542,0,28.3,28.0,5,1638520605
537,0,28.2,28.0,6,1638520656
534,0,28.2,28.0,6,1638520707
537,0,28.3,28.0,6,1638520758
544,0,28.3,28.0,6,1638520808
549,0,28.4,28.0,6,1638520859
565,0,28.5,28.0,6,1638520910
552,0,28.5,28.0,5,1638520961
547,0,28.4,28.0,5,1638521012
558,0,28.4,28.0,5,1638521063
560,0,28.4,28.0,6,1638521114
550,0,28.3,28.0,5,1638521165
551,0,28.3,28.0,6,1638521215
559,0,28.4,28.0,6,1638521266
552,0,28.4,28.0,5,1638521317
556,0,28.5,28.0,6,1638521368
544,0,28.3,28.0,6,1638521419
557,0,28.5,28.0,6,1638521470
559,0,28.5,28.0,6,1638521521
549,0,28.5,28.0,6,1638521572
552,0,28.5,28.0,6,1638521622
555,0,28.7,27.9,6,1638521673
564,0,28.6,28.0,6,1638521724
564,0,28.7,28.0,6,1638521775
563,0,28.7,28.0,6,1638521826
579,0,28.8,28.0,6,1638521877
582,0,28.8,28.0,6,1638521928
573,0,28.8,28.0,6,1638521979
558,0,28.8,28.0,5,1638522030
569,0,28.8,27.9,6,1638522081
593,0,28.9,27.9,6,1638522132
596,0,29.0,27.9,6,1638522183
588,0,29.0,27.9,6,1638522234
577,0,29.0,27.9,6,1638522285
566,0,29.0,27.9,6,1638522336
572,0,29.1,27.9,6,1638522386
588,0,29.2,27.9,6,1638522437
589,0,29.2,27.9,6,1638522488
589,0,29.2,27.9,6,1638522539
594,0,29.3,27.9,6,1638522590
578,0,29.2,27.9,6,1638522641
579,0,29.2,27.9,6,1638522692
581,0,29.4,27.9,6,1638522743
594,0,29.4,27.8,6,1638522793
598,0,29.5,27.9,6,1638522844
597,0,29.5,27.8,6,1638522895
579,0,29.4,27.8,6,1638522946
563,0,29.2,27.8,6,1638522997
568,0,29.2,27.8,6,1638523048
570,0,29.2,27.8,6,1638523099
591,0,29.3,27.8,6,1638523150
586,0,29.4,27.8,6,1638523201
598,0,29.4,27.8,6,1638523251
617,0,29.6,27.8,6,1638523302
662,0,29.7,27.7,6,1638523353
703,0,29.8,27.7,6,1638523404
695,0,29.9,27.7,6,1638523455
656,0,29.8,27.7,6,1638523506
665,0,29.8,27.7,6,1638523557
656,0,29.8,27.7,6,1638523608
652,0,29.9,27.7,6,1638523659
642,0,29.9,27.7,6,1638523709
636,0,29.9,27.7,6,1638523760
602,0,29.8,27.7,6,1638523812
600,0,29.8,27.7,6,1638523863
605,0,29.9,27.7,6,1638523913
589,0,29.9,27.7,6,1638523964
588,0,29.8,27.7,6,1638524015
578,0,29.9,27.7,6,1638524066
565,0,30.0,27.7,6,1638524117
587,0,30.7,27.7,6,1638524168
578,0,31.3,27.7,6,1638524219
556,0,31.0,27.7,6,1638524270
541,0,30.8,27.7,6,1638524321
540,0,30.7,27.7,6,1638524372
553,0,30.8,27.6,6,1638524423
557,0,30.8,27.7,6,1638524473
565,0,30.6,27.6,6,1638524524
