db_id,sensor_id,CO2,VOC,RH,TEM,PM25,ALM,TIME
183,98F4AB38C884,537,0,28.9,27.9,6,0,1638517752
297,98F4AB38C884,540,0,28.8,27.9,6,0,1638517803
410,98F4AB38C884,536,0,28.8,27.9,6,0,1638517854
641,98F4AB38C884,547,0,28.7,27.9,6,0,1638517955
755,98F4AB38C884,551,0,28.8,27.9,6,0,1638518006
869,98F4AB38C884,560,0,28.7,28,6,0,1638518057
983,98F4AB38C884,561,0,28.8,28,6,0,1638518108
1097,98F4AB38C884,564,0,28.9,27.9,6,0,1638518159
1211,98F4AB38C884,571,0,28.8,27.9,6,0,1638518210
1325,98F4AB38C884,561,0,28.7,28,6,0,1638518261
1441,98F4AB38C884,561,0,28.7,27.9,6,0,1638518313
1556,98F4AB38C884,553,0,28.6,28,6,0,1638518364
1670,98F4AB38C884,542,0,28.5,27.9,6,0,1638518415
1784,98F4AB38C884,551,0,28.6,27.9,6,0,1638518466
1898,98F4AB38C884,550,0,28.5,28,6,0,1638518517
2012,98F4AB38C884,549,0,28.4,28,6,0,1638518568
2126,98F4AB38C884,539,0,28.4,28,6,0,1638518619
2240,98F4AB38C884,549,0,28.4,27.9,6,0,1638518670
2354,98F4AB38C884,551,0,28.4,28,6,0,1638518721
2467,98F4AB38C884,565,0,28.5,28,6,0,1638518772
2580,98F4AB38C884,571,0,28.7,28,6,0,1638518823
2694,98F4AB38C884,571,0,28.8,28,6,0,1638518873
2808,98F4AB38C884,577,0,28.8,28,6,0,1638518924
2919,98F4AB38C884,585,0,28.8,28,6,0,1638518975
3033,98F4AB38C884,578,0,28.8,27.9,6,0,1638519026
3147,98F4AB38C884,574,0,28.9,28,5,0,1638519077
3261,98F4AB38C884,579,0,28.9,28,6,0,1638519128
3374,98F4AB38C884,577,0,28.9,28,6,0,1638519179
3488,98F4AB38C884,570,0,28.8,28,6,0,1638519230
3601,98F4AB38C884,566,0,28.7,28,6,0,1638519281
3715,98F4AB38C884,582,0,28.7,28,6,0,1638519332
3829,98F4AB38C884,569,0,28.7,28,5,0,1638519382
3941,98F4AB38C884,567,0,28.7,28,6,0,1638519433
4056,98F4AB38C884,569,0,28.7,28,6,0,1638519485
4170,98F4AB38C884,565,0,28.6,28,6,0,1638519536
4283,98F4AB38C884,558,0,28.5,28,6,0,1638519586
4397,98F4AB38C884,570,0,28.5,28,6,0,1638519637
4511,98F4AB38C884,551,0,28.4,28,6,0,1638519688
4625,98F4AB38C884,548,0,28.5,28,6,0,1638519739
4738,98F4AB38C884,552,0,28.4,28,6,0,1638519790
4852,98F4AB38C884,554,0,28.4,28,5,0,1638519841
4966,98F4AB38C884,552,0,28.4,28,6,0,1638519892
5079,98F4AB38C884,560,0,28.4,28,6,0,1638519943
5193,98F4AB38C884,543,0,28.3,28,6,0,1638519993
5307,98F4AB38C884,545,0,28.3,28,5,0,1638520044
5421,98F4AB38C884,559,0,28.5,28,6,0,1638520095
5532,98F4AB38C884,567,0,28.5,28,6,0,1638520146
5645,98F4AB38C884,558,0,28.5,28,5,0,1638520197
5759,98F4AB38C884,568,0,28.5,28,5,0,1638520248
5873,98F4AB38C884,563,0,28.5,28,5,0,1638520299
5983,98F4AB38C884,554,0,28.4,28,5,0,1638520350
6097,98F4AB38C884,556,0,28.4,28,6,0,1638520401
6211,98F4AB38C884,556,0,28.4,28,6,0,1638520452
6325,98F4AB38C884,543,0,28.3,28,6,0,1638520503
6439,98F4AB38C884,537,0,28.4,28,6,0,1638520554
6553,98F4AB38C884,542,0,28.3,28,5,0,1638520605
6664,98F4AB38C884,537,0,28.2,28,6,0,1638520656
6778,98F4AB38C884,534,0,28.2,28,6,0,1638520707
6892,98F4AB38C884,537,0,28.3,28,6,0,1638520758
7006,98F4AB38C884,544,0,28.3,28,6,0,1638520808
7120,98F4AB38C884,549,0,28.4,28,6,0,1638520859
7281,98F4AB38C884,565,0,28.5,28,6,0,1638520910
7446,98F4AB38C884,552,0,28.5,28,5,0,1638520961
7610,98F4AB38C884,547,0,28.4,28,5,0,1638521012
7775,98F4AB38C884,558,0,28.4,28,5,0,1638521063
7940,98F4AB38C884,560,0,28.4,28,6,0,1638521114
8105,98F4AB38C884,550,0,28.3,28,5,0,1638521165
8269,98F4AB38C884,551,0,28.3,28,6,0,1638521215
8430,98F4AB38C884,559,0,28.4,28,6,0,1638521266
8595,98F4AB38C884,552,0,28.4,28,5,0,1638521317
8752,98F4AB38C884,556,0,28.5,28,6,0,1638521368
8864,98F4AB38C884,544,0,28.3,28,6,0,1638521419
8978,98F4AB38C884,557,0,28.5,28,6,0,1638521470
9091,98F4AB38C884,559,0,28.5,28,6,0,1638521521
9204,98F4AB38C884,549,0,28.5,28,6,0,1638521572
9318,98F4AB38C884,552,0,28.5,28,6,0,1638521622
9442,98F4AB38C884,555,0,28.7,27.9,6,0,1638521673
9607,98F4AB38C884,564,0,28.6,28,6,0,1638521724
9772,98F4AB38C884,564,0,28.7,28,6,0,1638521775
