db_id,sensor_id,CO2,VOC,RH,TEM,PM25,ALM,TIME
201,98F4AB39DB50,527,0,30.9,26.2,2,0,1638517757
315,98F4AB39DB50,552,0,31,26.2,3,0,1638517808
428,98F4AB39DB50,548,0,31,26.2,3,0,1638517859
543,98F4AB39DB50,534,0,30.9,26.2,2,0,1638517909
663,98F4AB39DB50,535,0,30.9,26.2,3,0,1638517963
779,98F4AB39DB50,539,0,30.9,26.2,3,0,1638518014
891,98F4AB39DB50,545,0,31.1,26.2,2,0,1638518065
1005,98F4AB39DB50,556,0,31.3,26.2,2,0,1638518115
1119,98F4AB39DB50,570,0,31.4,26.2,2,0,1638518166
1233,98F4AB39DB50,569,0,31.4,26.2,2,0,1638518218
1347,98F4AB39DB50,592,0,31.4,26.2,2,0,1638518268
1461,98F4AB39DB50,590,0,31.4,26.2,2,0,1638518319
1580,98F4AB39DB50,579,0,31.3,26.2,2,0,1638518372
1692,98F4AB39DB50,599,0,31.3,26.2,2,0,1638518423
1806,98F4AB39DB50,590,0,31.1,26.2,2,0,1638518473
1920,98F4AB39DB50,561,0,31,26.2,2,0,1638518524
2038,98F4AB39DB50,556,0,31.1,26.2,2,0,1638518577
2152,98F4AB39DB50,558,0,31,26.2,2,0,1638518628
2266,98F4AB39DB50,561,0,31,26.2,2,0,1638518679
2380,98F4AB39DB50,549,0,31,26.2,2,0,1638518730
2504,98F4AB39DB50,542,0,31,26.2,2,0,1638518786
2618,98F4AB39DB50,533,0,31,26.2,2,0,1638518837
2731,98F4AB39DB50,548,0,31,26.2,2,0,1638518888
2955,98F4AB39DB50,504,0,30.6,26.2,2,0,1638518989
3069,98F4AB39DB50,489,0,30.5,26.2,2,0,1638519040
3183,98F4AB39DB50,490,0,30.6,26.2,2,0,1638519091
3297,98F4AB39DB50,547,0,31,26.2,2,0,1638519142
3411,98F4AB39DB50,550,0,31.2,26.2,2,0,1638519193
3525,98F4AB39DB50,542,0,31.2,26.2,2,0,1638519244
3638,98F4AB39DB50,535,0,31.1,26.2,2,0,1638519295
3752,98F4AB39DB50,511,0,30.9,26.2,2,0,1638519346
3981,98F4AB39DB50,501,0,30.7,26.2,2,0,1638519449
4100,98F4AB39DB50,485,0,30.6,26.2,2,0,1638519503
4214,98F4AB39DB50,520,0,30.9,26.2,2,0,1638519554
4333,98F4AB39DB50,534,0,31,26.1,2,0,1638519608
4447,98F4AB39DB50,508,0,30.8,26.2,2,0,1638519658
4562,98F4AB39DB50,500,0,30.6,26.2,2,0,1638519710
4675,98F4AB39DB50,501,0,30.6,26.2,2,0,1638519760
4789,98F4AB39DB50,534,0,30.8,26.1,2,0,1638519812
