s1               db_id           CO2           VOC            RH           TEM          PM25      ALM          TIME
count  6.825200e+04  68252.000000  68252.000000  68252.000000  68252.000000  68252.000000  68252.0  6.825200e+04
mean   1.511643e+06    542.619220      0.023780     59.505531     25.730376      8.709400      0.0  1.640482e+09
std    8.923648e+05     54.324969      0.202706      8.347770      1.057758      4.922839      0.0  1.118118e+06
min    2.010000e+02    400.000000      0.000000     29.600000     22.100000      0.000000      0.0  1.638518e+09
25%    9.535600e+05    506.000000      0.000000     54.800000     24.900000      5.000000      0.0  1.639519e+09
50%    1.290796e+06    541.000000      0.000000     61.400000     25.600000      8.000000      0.0  1.640497e+09
75%    2.262235e+06    575.000000      0.000000     64.900000     26.600000     12.000000      0.0  1.641485e+09
max    4.133320e+06    777.000000      3.000000     76.700000     28.000000     34.000000      0.0  1.642410e+09
s2               db_id           CO2           VOC            RH           TEM          PM25      ALM          TIME
count  6.475900e+04  64759.000000  64759.000000  64759.000000  64759.000000  64759.000000  64759.0  6.475900e+04
mean   1.497007e+06    563.045167      0.065474     57.574734     26.515434     17.068083      0.0  1.640454e+09
std    9.018640e+05     90.383391      0.340008      8.141122      1.253356      8.481631      0.0  1.116282e+06
min    1.830000e+02      0.000000      0.000000     28.200000     23.500000      2.000000      0.0  1.638518e+09
25%    9.501800e+05    492.000000      0.000000     54.300000     25.600000     10.000000      0.0  1.639505e+09
50%    1.274745e+06    555.000000      0.000000     59.400000     26.400000     16.000000      0.0  1.640426e+09
75%    1.568878e+06    621.000000      0.000000     63.000000     27.600000     22.000000      0.0  1.641390e+09
max    4.133223e+06    998.000000      3.000000     74.800000     29.400000     94.000000      0.0  1.642410e+09
s3               db_id           CO2           VOC            RH           TEM          PM25      ALM          TIME
count  6.987600e+04  69876.000000  69876.000000  69876.000000  69876.000000  69876.000000  69876.0  6.987600e+04
mean   1.507418e+06    485.520336      0.089401     62.800843     23.760151    484.446019      0.0  1.640481e+09
std    8.880183e+05     52.890780      0.383049      9.303444      1.007124     66.335146      0.0  1.106694e+06
min    1.930000e+02    386.000000      0.000000     27.800000     21.700000    180.000000      0.0  1.638518e+09
25%    9.693850e+05    450.000000      0.000000     58.100000     23.000000    443.000000      0.0  1.639547e+09
50%    1.283584e+06    474.000000      0.000000     64.900000     23.600000    485.000000      0.0  1.640466e+09
75%    2.252114e+06    506.000000      0.000000     69.200000     24.400000    526.000000      0.0  1.641454e+09
max    4.133296e+06    865.000000      3.000000     81.400000     26.000000    717.000000      0.0  1.642410e+09
